case_number|job_title|employer_name|secondary_entity_business_name|employer_poc_email|employer_poc_phone|employer_poc_first_name|employer_poc_last_name|worksite_address1|worksite_address2|worksite_city|worksite_county|lawfirm_name_business_name|employer_address1|employer_address2|employer_city|employer_state|employer_postal_code|begin_date|end_date|total_worker_positions|soc_code|h_1b_dependent
I-200-23266-375634|Salesforce Developer|Intellisavvy LLC|(Remote) IntelliSavvy|siva.kalavagunta@intellisavvy.com|14692360721|Siva|Kalavagunta|725 Branch Ave unit 1240||Providence|EAST PROVIDENCE CITY|Kodem Law Firm PLLC|4545 Fuller Dr|STE 402|Irving|TX|75038|10/1/2023|9/30/2026|1|15-1252.00|No
I-200-24051-732598|Full Stack Developer|Qualitas Infotech Inc|1 CVS Health|hr@qualitasinfo.com|16097515311|Subrahmanyam|Osuru|CVS Drive||Woonsocket|WOONSOCKET CITY|BBI Law Group, P.C.|37 Station Dr.,|Suite D|Princeton Junction|NJ|08550|6/15/2024|6/14/2027|1|15-1252.00|Yes
I-200-23034-750367|VALIDATION ENGINEER|INTELLECTT INC|AMGEN INC|HR@INTELLECTT.COM|17324126999|SANGEETA|TRIVEDI|40 TECHNOLOGY WAY|BUILDING AR07|WEST GREENWICH|WEST GREENWICH|LAW OFFICE OF THOMAS V. ALLEN PLLC.|517 ROUTE 1 S.|SUITE 1115|ISELIN|NJ|08830|2/13/2023|2/12/2026|1|17-2141.00|Yes
I-200-22123-129972|Software Developer|Amdocs Inc|AT&T Inc|priscillac@amdocs.com|13142127000|Priscilla|Craig|275 Promenade St||Providence|PROVIDENCE CITY|Fragomen Del Rey Bernsen & Loewy LLP|625 Maryville Centre Drive|Suite 200|St. Louis|MO|63141|5/4/2022|5/3/2025|1|15-1132.00|No
I-200-21063-121486|SAS Analyst|Intone Networks Inc|Alcon Vision LLC (Working Remotely)|legalteam@intonenetworks.com|17327213002|Sailaja|Allu|90 Mill Street|Apartment 102|Woonsocket|WOONSOCKET CITY|Ramineni & Shepard LLC|10 Austin Avenue||Iselin|NJ|08830|7/4/2021|7/3/2024|1|15-2041.01|Yes
I-200-24304-444011|Electrical Engineer (PCB Design)|VALIDIT SOLUTIONS LLC|Alcor Scientific|legal@validitsolutions.com|16787500615|KAVITA|BIRADAR|20 Thurber Blvd||Smithfield|PROVIDENCE CITY||8737 DUNWOODY PL|UNIT 4|Atlanta|GA|30350|11/18/2024|11/16/2027|1|17-2071|No
I-200-22189-339101|Sr. Automation Engineer – Site Leader|PACIV-USA LLC|Amgen|saxhaugt@paciv.com|13174238819|Theresa|Saxhaug|40 Technology Way||West Greenwich|WEST GREENWICH|Hall, Render, Killian, Heath & Lyman, P.C.|2507 Bloyd Avenue||Indianapolis|IN|46218|8/5/2022|8/4/2025|1|17-2199.05|No
I-200-22215-394830|Sr. Automation Engineer - Site Leader|PACIV-USA LLC|Amgen|saxhaugt@paciv.com|13174238819|Theresa|Saxhaug|40 Technology Way||West Greenwich|WEST GREENWICH|Hall, Render, Killian, Heath & Lyman, P.C.|2507 Bloyd Avenue||Indianapolis|IN|46218|9/13/2022|9/12/2025|1|17-2199.05|No
I-200-24022-655412|Validation Engineer|Sathram Corporation|Amgen|hr@sathramcorp.com|17323805183|Subash|Vanga|40 Technology Way||West Greenwich|WEST GREENWICH|INTERNATIONAL LEGAL AND BUSINESS SERVICES GROUP LLP|666 Plainsboro Road|Suite 1236|Plainsboro|NJ|08536|2/5/2024|2/4/2027|1|17-2112.02|Yes
I-200-22123-130792|Validation Engineer|Satya Soft Solutions LLC|Amgen INC|legal@satyass.com|15733213034|Satish|Kanagala|40 TECHNOLOGY WAY||WEST GREENWICH|WARWICK CITY||2501 S COUNTRY CLUB DR||JEFFERSON CTY|MT|65109|10/1/2022|9/30/2025|1|17-2199.02|Yes
