case_number|job_title|employer_name|secondary_entity_business_name|employer_poc_email|employer_poc_phone|employer_poc_first_name|employer_poc_last_name|worksite_address1|worksite_address2|worksite_city|worksite_county|lawfirm_name_business_name|employer_address1|employer_address2|employer_city|employer_state|employer_postal_code|begin_date|end_date|total_worker_positions|soc_code|h_1b_dependent
I-200-23139-036894|Software Developer|Cirrus Solutions LLC|(Remote) Cirrus Solutions LLC|tina@cirrussolutionstech.com|17656317663|Tina|Susan Jose|2056 Berkley Hallway|APT 208|Fort Mill|YORK|Kodem Law Firm PLLC|25807 Westheimer Pkwy ste 325||Katy|TX|77494|6/1/2023|5/31/2026|1|15-1252.00|No
I-200-23101-920925|Software Developer|Cirrus Solutions LLC|(Remote) Cirrus Solutions LLC|tina@cirrussolutionstech.com|17656317663|Tina|Susan Jose|2056 Berkley Hallway|APT 208|Fort Mill|YORK|Kodem Law Firm PLLC|25807 Westheimer Pkwy ste 325||Katy|TX|77494|5/1/2023|4/30/2026|1|15-1252.00|No
I-200-23096-912659|Software Developer|Cirrus Solutions LLC|(Remote) Cirrus Solutions LLC|tina@cirrussolutionstech.com|17656317663|Tina Susan|Jose|2056 Berkley Hallway|APT 208|Fort Mill|YORK|Kodem Law Firm PLLC|25807 Westheimer Pkwy ste 325||Katy|TX|77494|4/14/2023|4/13/2026|1|15-1252.00|No
I-200-24365-576372|SOLUTION ARCHITECT|eTek IT Services Inc|(Remote)New Jersey Courts|hr@etekit.com|18479690200|Archana|Tripathi|1779 Wildwood Terrace Trl||Tega Cay|YORK|Law Offices of Mary Kennedy LLC|830 E Higgins Road|Suite 102|Schaumburg|IL|60173|12/30/2024|12/3/2026|1|15-1252|Yes
I-200-25169-109251|Data Analyst|EZ4 Technologies LLC|(Work from Home)|immigration1@ez4tech.com|14694286707|Nikhila|Madupalli|220 Elm St|Apt 534|Clemsom|PICKENS||3415 Custer Road|Suite 153|Plano|TX|75023|10/1/2025|9/30/2028|1|15-2051|Yes
I-200-23172-133659|Salesforce Technical Analyst|Interglobe IT LLC|(Work from Home)|immigration@interglobeit.com|19728103136|Ranjit|Vallapureddy|3205 Gilroy Drive||Indian Land|LANCASTER||955 W John Carpenter Freeway|Suite 100|Irving|TX|75039|6/28/2023|6/27/2026|1|15-1211.00|Yes
I-200-20048-328077|SOFTWARE DEVELOPER|LOGICQUE INC|3D SYSTEMS|hr@logicque.com|17344045625|INDIRA|SURESH|333 THREE D SYSTEMS CIR||ROCK HILL|YORK||2200 N Canton Center Road,|Ste 110|Canton|MI|48187|2/17/2020|2/16/2023|1|15-1132.00|Yes
I-200-22006-813863|SENIOR ORACLE SUPPLYCHAIN SYSTEMS ANALYST|AVANSA IT SOLUTIONS LLC|3D SYSTEMS INC|HR@AVANSAIT.COM|17322302523|RANJITA|KASUKURTHI|333 THREE D SYSTEMS CIR.||ROCK HILL|YORK|LAW OFFICE OF THOMAS V. ALLEN PLLC|2525 US 130|BUILDING C, SUITE 1A|CRANBURY|NJ|08512|1/17/2022|1/16/2025|1|15-1132.00|Yes
I-200-22164-275053|Senior Test Lead|Birlasoft Solutions Inc|3D Systems|subash.limbu@birlasoft.com|17323098990|John|Bahadur|333 Three D Systems Circle||Rockhill|YORK|Goel & Anderson LLC|399 Thornall Street|8th Floor|Edison|NJ|08837|10/1/2022|9/30/2025|1|15-1121.00|Yes
I-200-23049-785344|Senior Manager - Package Implementation|LTIMINDTREE LIMITED|3D Systems|Elena.kuznetsova@lntinfotech.com|12012708468|Elena|Kuznetsova|333 Three D Systems Cir||Rock Hill|YORK|Usilaw Inc|2035 Lincoln Highway, Edison Square West|Suite 3000|Edison|NJ|08817|2/17/2023|2/16/2026|1|15-1211.00|Yes
I-200-24051-730959|Computer Systems Analysts|LTIMINDTREE Limited|3D Systems|Ran@lntinfotech.com|12012708468|Elena|Kuznetsova|333 Three D Systems Circle, , Rock Hill SC ,||Rock Hill|YORK||25 INDEPENDENCE BLVD,STE. 401||WARREN|NJ|07059|3/1/2024|2/28/2027|1|15-1211.00|Yes
I-200-24018-648188|Computer Systems Analysts|LTIMINDTREE Limited|3D Systems|Ran@lntinfotech.com|12012708468|Elena|Kuznetsova|333 Three D Systems Circle,||Columbia|YORK||25 INDEPENDENCE BLVD,STE. 401||WARREN|NJ|07059|2/1/2024|1/31/2027|1|15-1211.00|Yes
I-200-24123-948366|Computer Systems Engineers/Architects|LTIMindtree Limited|3D Systems|RAN@ltimindtree.com|12012708468|Elena|Kuznetsova|333 Three D Systems Circle,||Rock Hill|YORK||25 Independence Blvd,|Suite 401|Warren|NJ|07059|10/1/2024|9/30/2027|1|15-1299.08|Yes
I-200-21278-625971|Software Developer, Applications|VED Software Services Inc|3D Systems|venkata@vedsoft.com|12488517400|Venkatachalam|Alampalam|333 Three D Systems Cir||Rock Hill|YORK||37811 West 12 Mile Road|Ste 201|Farmington Hills|MI|48331|10/11/2021|10/10/2024|1|15-1132.00|Yes
I-200-23280-417025|SYSTEMS ADMINISTRATOR|GARUDA CONSULTANTS LLC|AASHI TECH INC|IMMI@GARUDACONSULTANT.COM|18624203101|NINO PINEDA|RICARDO CESAR|458 OLD CHEROKEE ROAD (PETITIONER OFFICE)|SUITE 100|LEXINGTON|LEXINGTON||458 OLD CHEROKEE ROAD|SUITE 100|LEXINGTON|SC|29072|10/9/2023|10/8/2026|1|15-1244.00|No
I-200-23280-417028|SOFTWARE DEVELOPER|GARUDA CONSULTANTS LLC|AASHI TECH INC|IMMI@GARUDACONSULTANT.COM|18624203101|NINO PINEDA|RICARDO CESAR|458 OLD CHEROKEE ROAD (PETITIONER OFFICE)|SUITE 100|LEXINGTON|LEXINGTON||458 OLD CHEROKEE ROAD|SUITE 100|LEXINGTON|SC|29072|10/9/2023|10/8/2026|1|15-1252.00|No
I-200-23280-417070|SOFTWARE DEVELOPER|GARUDA CONSULTANTS LLC|AASHI TECH INC|IMMI@GARUDACONSULTANT.COM|18624203101|NINO PINEDA|RICARDO CESAR|458 OLD CHEROKEE ROAD (PETITIONER OFFICE)|SUITE 100|LEXINGTON|LEXINGTON||458 OLD CHEROKEE ROAD|SUITE 100|LEXINGTON|SC|29072|10/9/2023|10/8/2026|1|15-1252.00|No
I-200-23280-417072|SYSTEMS ADMINISTRATOR|GARUDA CONSULTANTS LLC|AASHI TECH INC|IMMI@GARUDACONSULTANT.COM|18624203101|NINO PINEDA|RICARDO CESAR|458 OLD CHEROKEE ROAD (PETITIONER OFFICE)|SUITE 100|LEXINGTON|LEXINGTON||458 OLD CHEROKEE ROAD|SUITE 100|LEXINGTON|SC|29072|10/9/2023|10/8/2026|1|15-1244.00|No
I-200-24358-567485|ELECTRICAL ENGINEER LEAD|INTELLECTT INC|ABB INC|HR@INTELLECTT.COM|17324126999|SANGEETA|TRIVEDI|2300 MECHANICSVILLE ROAD||FLORENCE|FLORENCE|LAW OFFICE OF THOMAS V. ALLEN PLLC.|517 ROUTE 1 S.|SUITE 1115|ISELIN|NJ|08830|1/2/2025|1/1/2028|1|17-2071|Yes
I-200-25167-094776|Industrial Engineer|L&T Technology Services Limited|ABB Inc|pramod.shenoy@ltts.com|17322484971|Pramod|Shenoy|2300 Mechanicsville Road||Florence|FLORENCE|Fakhoury Global Immigration, USA PC|2035 Lincoln Highway, Edison Square West|Suite 3002|Edison|NJ|08817|10/1/2025|9/30/2028|1|17-2112|Yes
I-200-22025-852942|SOFTWARE DEVELOPER|COMPUNNEL SOFTWARE GROUP INC|ACCESSONE MEDCARD|IMMIGRATION@COMPUNNEL.COM|16096069010|RAKESH|SHAH|360 KINGSLEY PARK DR||FORT MILL|YORK||103 MORGAN LANE|SUITE 102|PLAINSBORO|NJ|08536|1/25/2022|1/24/2025|1|15-1132.00|Yes
I-200-22028-862719|Software Developer|COMPUNNEL SOFTWARE GROUP INC|ACCESSONE MEDCARD|immigration@compunnel.com|16096069010|Steve|Monteleone|360 KINGSLEY PARK DR||FORT MILL|YORK||103 MORGAN LANE|SUITE 102|PLAINSBORO|NJ|08536|1/28/2022|1/27/2025|1|15-1132.00|Yes
I-200-21344-757250|SOFTWARE DEVELOPER|IPOLARITY LLC|ADVANCE AMERICA|immigration@ipolarityllc.com|17326405254|DIVYA|RANA|135 NORTH CHURCH STREET||SPARTANBURG|SPARTANBURG||200 CENTENNIAL AVENUE|STE 204|PISCATAWAY|NJ|08854|5/19/2022|5/18/2025|1|15-1132.00|Yes
I-200-25128-952933|MES Application Engineer|ITC INFOTECH (USA) INC|AESC Florence LLC|us.immigration@itcinfotech.com|18482789125|Rajesh|Srivastava|186 Dunbarton Drive||Florence|FLORENCE|Law Offices of Harvey Shapiro|12 ROUTE 17 NORTH|SUITE 303|PARAMUS|NJ|07652|10/1/2025|9/30/2028|1|15-1299.08|Yes
I-200-25128-953189|MES Integration Engineer|ITC INFOTECH (USA) INC|AESC Florence LLC|us.immigration@itcinfotech.com|18482789125|Rajesh|Srivastava|186 Dunbarton Drive||Florence|FLORENCE|Law Offices of Harvey Shapiro|12 ROUTE 17 NORTH|SUITE 303|PARAMUS|NJ|07652|10/1/2025|9/30/2028|1|15-1299.08|Yes
I-200-25128-953127|MES Integration Engineer|ITC INFOTECH (USA) INC|AESC Florence LLC|us.immigration@itcinfotech.com|18482789125|Rajesh|Srivastava|186 Dunbarton Drive||Florence|FLORENCE|Law Offices of Harvey Shapiro|12 ROUTE 17 NORTH|SUITE 303|PARAMUS|NJ|07652|10/1/2025|9/30/2028|1|15-1299.08|Yes
I-200-25128-953018|MES Application Engineer|ITC INFOTECH (USA) INC|AESC Florence LLC|us.immigration@itcinfotech.com|18482789125|Rajesh|Srivastava|186 Dunbarton Drive||Florence|FLORENCE|Law Offices of Harvey Shapiro|12 ROUTE 17 NORTH|SUITE 303|PARAMUS|NJ|07652|10/1/2025|9/30/2028|1|15-1299.08|Yes
I-200-25128-953350|MES Integration Engineer|ITC INFOTECH (USA) INC|AESC Florence LLC|us.immigration@itcinfotech.com|18482789125|Rajesh|Srivastava|186 Dunbarton Drive||Florence|FLORENCE|Law Offices of Harvey Shapiro|12 ROUTE 17 NORTH|SUITE 303|PARAMUS|NJ|07652|10/1/2025|9/30/2028|1|15-1299.08|Yes
I-200-25128-953280|MES Application Engineer|ITC INFOTECH (USA) INC|AESC Florence LLC|us.immigration@itcinfotech.com|18482789125|Rajesh|Srivastava|186 Dunbarton Drive||Florence|FLORENCE|Law Offices of Harvey Shapiro|12 ROUTE 17 NORTH|SUITE 303|PARAMUS|NJ|07652|10/1/2025|9/30/2028|1|15-1299.08|Yes
I-200-23048-784178|Test Engineer|Mphasis Corporation|AFLAC|shuchita.mirwani@mphasis.com|12126866655|Shuchita / Soumya|Mirwani / Rama Moorthy|1600 Williams St.||Columbia|RICHLAND|Bedi & Martinez, Esqs.|41 Madison Avenue|35th Floor|New York|NY|10010|2/18/2023|1/30/2026|1|15-1253.00|Yes
I-200-23027-733215|Test Engineer|Mphasis Corporation|AFLAC|shuchita.mirwani@mphasis.com|12126866655|Shuchita / Soumya|Mirwani / Rama Moorthy|1600 Williams St.||Columbia|RICHLAND|Bedi & Martinez, Esqs.|41 Madison Avenue|35th Floor|New York|NY|10010|1/31/2023|1/30/2026|1|15-1253.00|Yes
I-200-24114-917479|SOFTWARE ENGINEER|TMS LLC|AGFIRST BANK|SHAILESH@LINKTMS.COM|12017273551|SHAILESH|CHANDEL|1901 MAIN STREET||COLUMBIA|RICHLAND|LAW OFFICE OF THOMAS V. ALLEN PLLC.|8 CAMPUS DR.|SUITE 105|PARSIPPANY|NJ|07054|5/1/2024|4/30/2027|1|15-1252.00|No
I-200-22007-815355|Product Owner|AGFIRST FARM CREDIT BANK|AGFIRST FARM CREDIT BANK|OScott@AgFirst.com|18037995000|Jeffery|Payne|1901 Main St.||COLUMBIA|RICHLAND|Ogletree Deakins Law Firm|1901 MAIN ST.||COLUMBIA|SC|29201|4/26/2022|4/25/2025|1|13-1111.00|No
I-200-21301-673011|SOFTWARE DEVELOPER|AR SOLUTIONS INC|AGFIRST FARM CREDIT BANK|HR@ARSOLINC.COM|13027299040|SRINIVAS|CHITTURI|1901 MAIN STREET||COLUMBIA|RICHLAND|LAW OFFICE OF THOMAS V. ALLEN PLLC|650 NAAMANS ROAD|SUITE 207|CLAYMONT|DE|19703|11/8/2021|11/7/2024|1|15-1132.00|Yes
I-200-21351-773799|SOFTWARE DEVELOPER|COMPUNNEL SOFTWARE GROUP INC|AGFIRST FARM CREDIT BANK|IMMIGRATION@COMPUNNEL.COM|16096069010|RAKESH|SHAH|1901 MAIN STREET||COLUMBIA|RICHLAND||103 MORGAN LANE|SUITE 102|PLAINSBORO|NJ|08536|12/17/2021|12/16/2024|1|15-1132.00|Yes
I-200-22192-343542|SOFTWARE DEVELOPER|COMPUNNEL SOFTWARE GROUP INC|AGFIRST FARM CREDIT BANK|IMMIGRATION@COMPUNNEL.COM|16096069010|STEVE|MONTELEONE|1901 MAIN STREET||COLUMBIA|RICHLAND||103 MORGAN LANE|SUITE 102|PLAINSBORO|NJ|08536|7/11/2022|7/10/2025|1|15-1252.00|Yes
I-200-22165-279983|SOFTWARE DEVELOPER|COMPUNNEL SOFTWARE GROUP INC|AGFIRST FARM CREDIT BANK|IMMIGRATION@COMPUNNEL.COM|16096069010|STEVE|MONTELEONE|1901 MAIN STREET||COLUMBIA|RICHLAND||103 MORGAN LANE|SUITE 102|PLAINSBORO|NJ|08536|6/14/2022|6/13/2025|1|15-1132.00|Yes
I-200-22168-294027|SOFTWARE DEVELOPER|COMPUNNEL SOFTWARE GROUP INC|AGFIRST FARM CREDIT BANK|IMMIGRATION@COMPUNNEL.COM|16096099010|STEVE|MONTELEONE|1901 MAIN STREET||COLUMBIA|RICHLAND||103 MORGAN LANE|SUITE 102|PLAINSBORO|NJ|08536|7/4/2022|7/3/2025|1|15-1132.00|Yes
I-200-25161-073143|Senior Software Engineer|EVRY USA CORPORATION|AGFIRST FARM CREDIT BANK|dl-ba-usa-evry-immigration@tietoevry.com|19725141113|PADMAJA|PENDYALA|1901 MAIN ST||COLUMBIA|RICHLAND|Fragomen, Del Rey, Bernsen & Loewy LLP|1425 GREENWAY DRIVE|SUITE 490|IRVING|TX|75038|10/1/2025|9/30/2028|1|15-1252|Yes
I-200-21356-781022|TEAM LEAD|EVRY USA Corporation|AGFIRST FARM CREDIT BANK|dl-ba-usa-evry-immigration@tietoevry.com|19725141113|PADMAJA|PENDYALA|1901 MAIN STREET||COLUMBIA|RICHLAND|Fragomen, Del Rey, Bernsen & Loewy, LLP|1425 GREENWAY DRIVE|SUITE 490|IRVING|TX|75038|12/31/2021|12/30/2024|1|15-1199.00|Yes
I-200-24267-355812|Tech Lead|EVRY USA Corporation|AGFIRST FARM CREDIT BANK|dl-ba-usa-evry-immigration@tietoevry.com|19725141113|PADMAJA|PENDYALA|1901 MAIN ST||COLUMBIA|RICHLAND|FRAGOMEN, DEL REY, BERNSEN & LOEWY, LLP|1425 GREENWAY DRIVE|SUITE 490|IRVING|TX|75038|9/24/2024|9/23/2027|1|15-1252.00|Yes
I-200-24165-105613|Project Lead|EVRY USA Corporation|AGFIRST FARM CREDIT BANK|dl-ba-usa-evry-immigration@tietoevry.com|19725141113|PADMAJA|PENDYALA|1901 MAIN ST||COLUMBIA|RICHLAND|FRAGOMEN, DEL REY, BERNSEN & LOEWY, LLP|1425 GREENWAY DRIVE|SUITE 490|IRVING|TX|75038|10/1/2024|9/30/2027|1|15-1299.09|Yes
I-200-24267-355824|Test lead|EVRY USA Corporation|AGFIRST FARM CREDIT BANK|dl-ba-usa-evry-immigration@tietoevry.com|19725141113|PADMAJA|PENDYALA|1901 MAIN ST||COLUMBIA|RICHLAND|FRAGOMEN, DEL REY, BERNSEN & LOEWY, LLP|1425 GREENWAY DRIVE|SUITE 490|IRVING|TX|75038|9/24/2024|9/23/2027|1|15-1253.00|Yes
I-200-24142-017723|Designer|TATA CONSULTANCY SERVICES LIMITED|AGFIRST FARM CREDIT BANK|AMIT1.JINDAL@TCS.COM|13012319083|AMIT|JINDAL|1901 Main St,||Columbia|RICHLAND||9201 CORPORATE BOULEVAROAD|SUITE 320|ROCKVILLE|MD|20850|10/1/2024|9/30/2027|1|15-1211.00|Yes
I-200-24130-975424|Designer|TATA CONSULTANCY SERVICES LIMITED|AGFIRST FARM CREDIT BANK|AMIT1.JINDAL@TCS.COM|13012319083|AMIT|JINDAL|1901 Main St,||Columbia|RICHLAND||9201 CORPORATE BOULEVAROAD|SUITE 320|ROCKVILLE|MD|20850|10/1/2024|9/30/2027|1|15-1211.00|Yes
I-200-25126-940847|Analyst|TATA CONSULTANCY SERVICES LIMITED|AGFIRST FARM CREDIT BANK|AMIT1.JINDAL@TCS.COM|13012319083|AMIT|JINDAL|1901 Main Street,||Columbia|RICHLAND||9201 CORPORATE BOULEVAROAD|SUITE 320|ROCKVILLE|MD|20850|10/1/2025|9/30/2028|1|15-1211|Yes
I-200-21351-774152|DESIGNER|TATA CONSULTANCY SERVICES LIMITED|AGFIRST FARM CREDIT BANK|AMIT1.JINDAL@TCS.COM|13012319083|AMIT|JINDAL|1901 MAIN STREET||COLUMBIA|RICHLAND|FRAGOMEN, DEL REY, BERNSEN & LOEWY LLP|9201 CORPORATE BOULEVAROAD|SUITE 320|ROCKVILLE|MD|20850|4/25/2022|4/24/2025|1|15-1121.00|Yes
I-200-23114-960955|DESIGNER|TATA CONSULTANCY SERVICES LIMITED|AGFIRST FARM CREDIT BANK|AMIT1.JINDAL@TCS.COM|13012319083|AMIT|JINDAL|1901 MAIN STREET||COLUMBIA|RICHLAND|FRAGOMEN, DEL REY, BERNSEN & LOEWY LLP|9201 CORPORATE BOULEVAROAD|SUITE 320|ROCKVILLE|MD|20850|10/1/2023|9/30/2026|1|15-1211.00|Yes
I-200-22139-192312|BUSINESS ANALYST|TATA CONSULTANCY SERVICES LIMITED|AGFIRST FARM CREDIT BANK|AMIT1.JINDAL@TCS.COM|13012319083|AMIT|JINDAL|1901 MAIN STREET||COLUMBIA|RICHLAND|FRAGOMEN, DEL REY, BERNSEN & LOEWY LLP|9201 CORPORATE BOULEVAROAD|SUITE 320|ROCKVILLE|MD|20850|10/1/2022|9/30/2025|1|15-1121.00|Yes
I-200-22201-364008|BUSINESS/MANAGEMENT ANALYST|DOTCOM TEAM LLC|AGFIRST FARM CREDIT BANK (TELECOMMUTING)|TSHERING@DOTCOM-TEAM.COM|17818483867|TSHERING|SHAKYA|120 LAGOONA DRIVE||SUMMERVILLE|DORCHESTER|MADAN & SAIGAL LLC|325 WOOD ROAD, SUITE 103||BRAINTREE|MA|02184|7/20/2022|7/19/2025|1|13-1111.00|Yes
I-200-21336-740983|Senior Engineer|GAVS Technologies N.A. Inc|AGFIRST Farm Credit Bank|joshua.goldstein@gavstech.com|16099512256|Joshua|Goldstein|1901 Main Street||Columbia|RICHLAND|Bhagwati & Bhagwati P.C.|116 Village Blvd|Suite 200|Princeton|NJ|08540|12/9/2021|9/12/2023|1|15-1199.02|Yes
I-200-21302-676070|Business Analyst/Scrum Master|Param Consulting Services Inc|AGFirst Farm Credit Bank|vamin@param.us.com|17324040466|VIPUL|AMIN|1901 Main St.||Columbia|RICHLAND||200 Middlesex Essex Tpk|Suite 110|Iselin|NJ|08830|10/29/2021|10/28/2024|1|15-1121.00|Yes
I-200-22032-869173|Test Analyst - II|HCL AMERICA INC|AMERISOURCEBERGEN CORPORATION|JHeh@hcl.com|14086947565|Jack|Heh|1800 INNOVATION POINT||Fort Mill|YORK||330 POTRERO AVENUE||SUNNYVALE|CA|94085|2/1/2022|1/31/2025|1|15-1199.01|Yes
I-200-22154-243674|BUSINESS ANALYST|TATA CONSULTANCY SERVICES LIMITED|AMERISOURCEBERGEN CORPORATION|AMIT1.JINDAL@TCS.COM|13012319083|AMIT|JINDAL|1800 INNOVATION POINT DRIVE||FORT MILL|YORK|FRAGOMEN, DEL REY, BERNSEN & LOEWY LLP|9201 CORPORATE BOULEVAROAD|SUITE 320|ROCKVILLE|MD|20850|11/29/2022|11/28/2023|1|15-1121.00|Yes
I-200-22126-142789|SOFTWARE DEVELOPER|Collaborate Solutions Inc|ANHEUSER BUSCH (WORK FROM HOME)|tiru@collaboratesolutions.com|15088454440|TIRU|CHANDRAPU|1409 ROPER MOUNTAIN ROAD|APT   466|GREENVILLE|GREENVILLE|International Legal and Business Services Group LLP|415 BOSTON TPKE ROAD|SUITE 302|SHREWSBURY|MA|01545|8/25/2022|8/24/2025|1|15-1132.00|Yes
I-200-21305-680447|JAVA DEVELOPER|Codesoft International Inc|AT&T (WORKS REMOTELY FROM HOME)|immigration@codesoft.net|17702482999|Phani|Paladugu|600 GREENLAWN DR|APT 4314|COLUMBIA|RICHLAND|International Legal and Business Services Group LLP|310 Maxwell Road|Suite 500|Alpharetta|GA|30009|11/8/2021|11/7/2024|1|15-1132.00|Yes
