case_number|job_title|employer_name|secondary_entity_business_name|employer_poc_email|employer_poc_phone|employer_poc_first_name|employer_poc_last_name|worksite_address1|worksite_address2|worksite_city|worksite_county|lawfirm_name_business_name|employer_address1|employer_address2|employer_city|employer_state|employer_postal_code|begin_date|end_date|total_worker_positions|soc_code|h_1b_dependent
I-200-22194-350357|SOFTWARE DEVELOPER|OPENWAVE COMPUTING LLC|ARKANSAS DEPARTMENT OF EDUCATION|ADMIN@OPENWAVECOMP.COM|12129674708|ALFRED|THIAGARAJAN|4 CAPITOL MALL||LITTLE ROCK|PULASKI|LAW OFFICE OF THOMAS V. ALLEN, PLLC.|1220 BROADWAY|SUITE 703|NEW YORK|NY|10001|1/1/2023|12/31/2025|1|15-1252.00|Yes
I-200-22146-212851|Senior Database Administrator|Inteliblue LLC|Arkansas Department of Education|priya@inteliblue.com|15012518918|Priyanka|Kothakanti|4 Capitol Mall||Little Rock|PULASKI|Global Immigration Partners Inc|300 Spring Bldg.|Suite 801|Little Rock|AR|72201|11/4/2022|11/3/2025|1|15-1141.00|No
I-200-25154-047812|Senior Database Administrator|Inteliblue LLC|Arkansas Department of Education|priya@inteliblue.com|15012518918|Priyanka|Kothakanti|4 Capitol Mall||Little Rock|PULASKI|Global Immigration Partners Inc|300 Spring Bldg.|Suite 801|Little Rock|AR|72201|11/4/2025|11/3/2028|1|15-1242|No
I-200-25134-975137|Senior Database Administrator|Inteliblue LLC|Arkansas Department of Education|priya@inteliblue.com|15012518918|Priyanka|Kothakanti|101 E Capitol Ave|Ste. 212|Little Rock|PULASKI|Global Immigration Partners Inc|300 Spring Bldg.|Suite 801|Little Rock|AR|72201|11/4/2025|11/3/2028|1|15-1242|No
I-200-25140-998277|Software Developer|Twilnet LLC|Arkansas Department of Education|admin@twilnet.com|15712302959|Srikanth|Kothakanti|4 Capitol Mall||Little Rock|PULASKI|Global Immigration Partners Inc|2591 Dallas Pkwy|Suite 300|Frisco|TX|75034|6/2/2025|6/1/2028|1|15-1252|No
I-200-24241-300708|AWS Cloud Engineer|INNOVATIVE INTELLIGENT SOLUTIONS LLC|Arkansas Department of Finance and Administration|immigration@iis-it.com|14083325736|Praveen|Chintha|1515 W. 7th St., Room 503||Little Rock|PULASKI|THE LAW FIRM OF SIM, PARVATHANENI AND BROWN PLLC|7150 Holland Dr|Suite 103|Frisco|TX|75035|9/2/2024|9/1/2027|1|15-1252.00|Yes
I-200-24239-294595|AWS Cloud Engineer|Innovative Intelligent Solutions LLC|Arkansas Department of Finance and Administration|immigration@iis-it.com|14083325736|Praveen|Chintha|1515 W. 7th St.,|Room 503,|Little Rock|PULASKI||7150 Holland Dr|Suite 103|Frisco|TX|75035|9/9/2024|9/8/2027|1|15-1299.08|Yes
I-200-23249-325556|Software Developer/Implemenation Consultant|Quinn David & Associates LLC|Arkansas Department of Finance and Administration|kthompson@quinndavid.com|14146883583|Ken|Thompson|501 Woodlane Drive||Little Rock|PULASKI|Lucio Steven Siy Attorney at Law|436 North 49th Street||Milwaukee|WI|53208|2/7/2024|2/6/2027|1|15-1252.00|No
I-200-22098-051916|System Administrator|SCOTTLINE LLC|Arkansas Department of Finance and Administration|HR1@SCOTTLINE.COM|17325343128|RAMHAA|PRESINGU|1816 West 7th Street, Ledbetter Building|Suite 1240|Little Rock|PULASKI||5005 W Royal Ln|Ste 196|Irving|TX|75063|4/11/2022|9/30/2024|1|15-1142.00|Yes
I-200-24081-821215|SQL DBA|Trendset IT Inc|Arkansas Department of Finance and Administration|pb@trendsetit.com|12485951214|Basnyat|Basnyat|1515W 7th St.|Room   503|Little Rock|PULASKI||38345 W 10 Mile Road|Suite 120|Farmington Hills|MI|48335|3/21/2024|3/20/2027|1|15-1242.00|Yes
I-200-23304-467004|Software Developer|EDISTO TECHNOLOGIES & CONSULTING LLC|Arkansas Department of Health|hr@edistoit.com|12146991904|Elizabeth|Craven|4815 W Markham St||Little Rock|PULASKI||60 RICE LN||Edisto Island|SC|29438|11/20/2023|11/19/2026|1|15-1252.00|Yes
I-200-22209-381229|Software Developer|Federal Soft Systems Inc|Arkansas Department of Health|HR4@FEDERALSOFTSYSTEMS.COM|12017169222|Sarika|Batte|4815 W Markham St|N/A|Little Rock|PULASKI||3101 SW I St|Suite 31|Bentonville|AR|72712|7/28/2022|7/27/2025|1|15-1252.00|Yes
I-200-24130-977686|SR.Database administrator|LUCID TECHNOLOGIES INC|Arkansas Department of Health|afia.m@lucidtechinc.com|12143854144|Afia|Mahmood|4815 W Markham St||Little Rock|PULASKI|THE LAW FIRM OF SIM, PARVATHANENI AND BROWN PLLC|8600 Freeport Parkway|SUITE 300|Irving|TX|75063|8/24/2024|8/23/2027|1|15-1242.00|Yes
I-200-21315-699380|Database Administrator|LUCID TECHNOLOGIES INC|Arkansas Department of Health|LEGAL@LUCIDTECHINC.COM|12143854144|Mahalakshmi|Kurucherlapati|4815 W Markham St||Little Rock|PULASKI|THE LAW FIRM OF SIM, PARVATHANENI AND BROWN PLLC|8600 Freeport Parkway   300||Irving|TX|75063|11/17/2021|11/16/2024|1|15-1141.00|Yes
I-200-23320-507662|Software Developer|North Point IT Corp|Arkansas Department of Health|admin@northpointcorp.com|16313930305|Prasuna|Pasham|4815 W Markham St||Little Rock|PULASKI||545 S Kimball Ave|Suite 100|Southlake|TX|76092|11/27/2023|11/26/2026|1|15-1252.00|Yes
I-200-22031-865110|Senior QA Tester|CipherQore Solutions Inc|Arkansas Department of Human Services|srinivas@cipherqore.com|12254024020|Sreenivas|Vemulapalli|700 Main Street||Little Rock|PULASKI|Ramineni & Shepard LLC|16179 STATE BANK DRIVE|SUITE D|PRAIRIEVILLE|LA|70769|8/1/2022|7/31/2025|1|15-1199.01|Yes
I-200-23215-237913|Oracle Business Intelligence Developer|Business Intelligence Solutions Inc|Arkansas Department of Transportation|hr@bisolutionstech.com|17038567952|Anuradha|Seelamneni|10324 Interstate 30||Little Rock|PULASKI||462 HERNDON PKWY|Unit 107|HERNDON|VA|20170|10/1/2023|9/30/2026|1|15-1252.00|No
