case_number|job_title|employer_name|secondary_entity_business_name|employer_poc_email|employer_poc_phone|employer_poc_first_name|employer_poc_last_name|worksite_address1|worksite_address2|worksite_city|worksite_county|lawfirm_name_business_name|employer_address1|employer_address2|employer_city|employer_state|employer_postal_code|begin_date|end_date|total_worker_positions|soc_code|h_1b_dependent
I-200-25162-079407|INFORMATION TECHNOLOGY ANALYST ( IT ANALYST)|SILVERXIS INC|DEPARTMENT OF HEALTH & WELFARE, STATE OF IDAHO|LEGAL@SILVERXIS.COM|18179735000|KRUNAL|THAKKAR|450 WEST STATE STREET||BOISE|ADA||100 EAST ROYAL LANE|SUITE 224|IRVING|TX|75039|6/11/2025|6/10/2028|1|15-1253|Yes
I-200-25161-075954|INFORMATION TECHNOLOGY ANALYST ( IT ANALYST)|SILVERXIS INC|DEPARTMENT OF HEALTH & WELFARE, STATE OF IDAHO|LEGAL@SILVERXIS.COM|18179735000|KRUNAL|THAKKAR|450 WEST STATE STREET||BOISE|ADA||100 EAST ROYAL LANE|SUITE 224|IRVING|TX|75039|6/10/2025|6/9/2028|1|15-1252|Yes
I-200-22034-876401|Senior Computer Systems Analyst|Eforce Solutions Inc|Department of Health & Welfare|hr@eforcesol.com|12489870090|Madhav|Ponugoti|450 W State St.||Boise|ADA|LAW OFFICES OF SHEEBA KHAN PLC|18525 Steep Hollow Court||Northville|MI|48168|6/29/2022|6/25/2025|1|15-1121.00|No
I-200-21300-672108|SOFTWARE ARCHITECT|STEM XPERT LLC|IDAHO TRANSPORTATION DEPARTMENT| STEMXPERT@IMMIGRATION.COM|17342592181|SANJEEV|KUMAR|3311 W STATE ST.||BOISE|ADA|LAW OFFICE OF THOMAS V. ALLEN PLLC|321 S. MAIN STREET|SUITE 203|ANN ARBOR|MI|48104|11/4/2021|11/3/2024|1|15-1199.02|No
I-200-24347-538310|SOFTWARE DEVELOPER|TEKNATIO INC|IDAHO TRANSPORTATION DEPARTMENT|HR@TEKNATIO.COM|16092698492|SRINIVASA RAO|BONGARALA|11331 W CHINDEN BLVD||BOISE|ADA||666 PLAINSBORO ROAD|SUITE 230|PLAINSBORO|NJ|08536|6/13/2025|6/12/2028|1|15-1252|Yes
I-200-24136-997158|SOFTWARE DEVELOPER|TEKNATIO INC|IDAHO TRANSPORTATION DEPARTMENT|HR@TEKNATIO.COM|16092698492|SRINIVASA RAO|BONGARALA|11331 W CHINDEN BLVD||BOISE|ADA||666 PLAINSBORO ROAD|SUITE 230|PLAINSBORO|NJ|08536|7/1/2024|6/30/2027|1|15-1252.00|Yes
I-200-23259-352645|Software Engineer/Java Developer|Technumen Inc|Idaho Department of Health & Welfare|chilpur@technumen.com|17325950962|Chilpur|Reddy|450 W. State Street||Boise|ADA|International Legal and Business Services Group LLP|242 Old Newbrunswick Road|Suite 310|Piscataway|NJ|08854|12/5/2023|12/4/2026|1|15-1252.00|Yes
I-200-22292-539403|Sr. Software Developer|Zume IT Inc|Idaho Department of Health & Welfare|immigration@zumeit.com|12485226868|Geetha|Kodali|450 W State St||Boise|ADA||24155 Drake Road|Suite 203|Farmington Hills|MI|48335|10/19/2022|10/18/2025|1|15-1252.00|Yes
I-200-22054-924370|Software Engineer 2|N9 IT Solutions LLC|Idaho Department of Labor|hr@n9-it.com|14108692049|Pratyusha|Nakkala|317 West Main Street||Boise|ADA|Ramineni & Shepard LLC|3300 N Ridge Road|Suite 150|Ellicott City|MD|21043|3/1/2022|2/28/2025|1|15-1132.00|Yes
I-200-23178-147424|Software Developer|9to9 Software Solutions LLC|Idaho Transportation Department|ashok@9to9soft.com|18609908610|Ashok|Sukumaran|11331 W. Chinden Blvd.||Boise|ADA|Credence Support Services Inc|1224 MILL ST, Bldg B|Suite 124|EAST BERLIN|CT|06023|7/10/2023|7/9/2026|1|15-1252.00|Yes
