-[ RECORD 1 ]------------------+----------------------------------------------------------
case_number                    | I-200-24200-206899
job_title                      | Oracle Developer
employer_name                  | RITWIK Infotech Inc
secondary_entity_business_name | Bureau of Motor Vehicles (BMV), State of Maine
employer_poc_email             | seshukotalo@ritwikinfotech.com
employer_poc_phone             | 12484796879
employer_poc_first_name        | Seshadri
employer_poc_last_name         | Kotalo
worksite_address1              | 101 Hospital Street
worksite_address2              | 29 State House Station
worksite_city                  | Augusta
worksite_county                | AUGUSTA CITY
lawfirm_name_business_name     | The Law Office of Luke Bowman
employer_address1              | 38345 West 10 Mile Road, Suite 253
employer_address2              | 
employer_city                  | Farmington
employer_state                 | MI
employer_postal_code           | 48335
begin_date                     | 7/29/2024
end_date                       | 7/28/2027
total_worker_positions         | 1
soc_code                       | 15-1252.00
h_1b_dependent                 | No
-[ RECORD 2 ]------------------+----------------------------------------------------------
case_number                    | I-200-22163-271053
job_title                      | Software Developer
employer_name                  | SLN SYSTEMS INC
secondary_entity_business_name | Department of Health and Human Services
employer_poc_email             | anuradha@slnsystems.com
employer_poc_phone             | 12408134060
employer_poc_first_name        | ANURADHA
employer_poc_last_name         | SIVARCHAKA
worksite_address1              | 2 Anthony Ave
worksite_address2              | 
worksite_city                  | Augusta
worksite_county                | AUGUSTA CITY
lawfirm_name_business_name     | Vegesna and Vemuru Associates LLC
employer_address1              | 931 RUSSELL AVE
employer_address2              | SUITE D
employer_city                  | GAITHERSBURG
employer_state                 | MD
employer_postal_code           | 20879
begin_date                     | 7/1/2022
end_date                       | 6/30/2025
total_worker_positions         | 1
soc_code                       | 15-1132.00
h_1b_dependent                 | Yes
-[ RECORD 3 ]------------------+----------------------------------------------------------
case_number                    | I-200-25140-996012
job_title                      | Software Developer
employer_name                  | Vejars Technologies Inc
secondary_entity_business_name | Department of the Secretary of State
employer_poc_email             | legal@vejars.com
employer_poc_phone             | 18778628386
employer_poc_first_name        | Venkateswar Rao
employer_poc_last_name         | Yarlagadda
worksite_address1              | 29 State House Station,1 01 Hospital St
worksite_address2              | 
worksite_city                  | Augusta
worksite_county                | KENNEBUNKPORT TOWN
lawfirm_name_business_name     | Kodem Law Firm PLLC
employer_address1              | 722 S Denton Tap Road
employer_address2              | STE 280
employer_city                  | Coppell
employer_state                 | TX
employer_postal_code           | 75019
begin_date                     | 5/27/2025
end_date                       | 5/26/2028
total_worker_positions         | 1
soc_code                       | 15-1252
h_1b_dependent                 | Yes
-[ RECORD 4 ]------------------+----------------------------------------------------------
case_number                    | I-200-25143-010769
job_title                      | Software Developer
employer_name                  | Vejars Technologies Inc
secondary_entity_business_name | Department of the Secretary of State
employer_poc_email             | legal@vejars.com
employer_poc_phone             | 18778628386
employer_poc_first_name        | Venkateswar Rao
employer_poc_last_name         | Yarlagadda
worksite_address1              | 29 State House Station,1 01 Hospital St
worksite_address2              | 
worksite_city                  | Augusta
worksite_county                | KENNEBUNKPORT TOWN
lawfirm_name_business_name     | Kodem Law Firm PLLC
employer_address1              | 722 S Denton Tap Road
employer_address2              | STE 280
employer_city                  | Coppell
employer_state                 | TX
employer_postal_code           | 75019
begin_date                     | 6/2/2025
end_date                       | 6/1/2028
total_worker_positions         | 1
soc_code                       | 15-1252
h_1b_dependent                 | Yes
-[ RECORD 5 ]------------------+----------------------------------------------------------
case_number                    | I-200-24133-985380
job_title                      | Software Developer
employer_name                  | Vejars Technologies Inc
secondary_entity_business_name | Department of the Secretary of State
employer_poc_email             | legal@vejars.com
employer_poc_phone             | 18778628386
employer_poc_first_name        | Venkateswar
employer_poc_last_name         | Yarlagadda
worksite_address1              | 29 State House Station, 101 Hospital Street
worksite_address2              | 
worksite_city                  | Augusta
worksite_county                | KENNEBUNKPORT TOWN
lawfirm_name_business_name     | 
employer_address1              | 722 S Denton Street
employer_address2              | Suite 280
employer_city                  | Coppell
employer_state                 | TX
employer_postal_code           | 75019
begin_date                     | 10/1/2024
end_date                       | 9/30/2027
total_worker_positions         | 1
soc_code                       | 15-1252.00
h_1b_dependent                 | Yes
-[ RECORD 6 ]------------------+----------------------------------------------------------
case_number                    | I-200-23156-080117
job_title                      | DEVELOPER
employer_name                  | TATA CONSULTANCY SERVICES LIMITED
secondary_entity_business_name | MAINE DEPARTMENT OF LABOR
employer_poc_email             | AMIT1.JINDAL@TCS.COM
employer_poc_phone             | 13012319083
employer_poc_first_name        | AMIT
employer_poc_last_name         | JINDAL
worksite_address1              | 45 COMMERCE DRIVE
worksite_address2              | 
worksite_city                  | AUGUSTA
worksite_county                | AUGUSTA CITY
lawfirm_name_business_name     | FRAGOMEN, DEL REY, BERNSEN & LOEWY LLP
employer_address1              | 9201 CORPORATE BOULEVAROAD
employer_address2              | SUITE 320
employer_city                  | ROCKVILLE
employer_state                 | MD
employer_postal_code           | 20850
begin_date                     | 6/7/2023
end_date                       | 1/8/2025
total_worker_positions         | 1
soc_code                       | 15-1251.00
h_1b_dependent                 | Yes
-[ RECORD 7 ]------------------+----------------------------------------------------------
case_number                    | I-200-23082-874116
job_title                      | DEVELOPER
employer_name                  | TATA CONSULTANCY SERVICES LIMITED
secondary_entity_business_name | MAINE DEPARTMENT OF LABOR
employer_poc_email             | AMIT1.JINDAL@TCS.COM
employer_poc_phone             | 13012319083
employer_poc_first_name        | AMIT
employer_poc_last_name         | JINDAL
worksite_address1              | 45 COMMERCE DRIVE
worksite_address2              | 
worksite_city                  | AUGUSTA
worksite_county                | AUGUSTA CITY
lawfirm_name_business_name     | FRAGOMEN, DEL REY, BERNSEN & LOEWY LLP
employer_address1              | 9201 CORPORATE BOULEVAROAD
employer_address2              | SUITE 320
employer_city                  | ROCKVILLE
employer_state                 | MD
employer_postal_code           | 20850
begin_date                     | 9/21/2023
end_date                       | 9/20/2026
total_worker_positions         | 1
soc_code                       | 15-1251.00
h_1b_dependent                 | Yes
-[ RECORD 8 ]------------------+----------------------------------------------------------
case_number                    | I-200-22151-228317
job_title                      | ARCHITECT
employer_name                  | TATA CONSULTANCY SERVICES LIMITED
secondary_entity_business_name | MAINE DEPARTMENT OF LABOR
employer_poc_email             | AMIT1.JINDAL@TCS.COM
employer_poc_phone             | 13012319083
employer_poc_first_name        | AMIT
employer_poc_last_name         | JINDAL
worksite_address1              | 45 COMMERCE DRIVE
worksite_address2              | 
worksite_city                  | AUGUSTA
worksite_county                | AUGUSTA CITY
lawfirm_name_business_name     | FRAGOMEN, DEL REY, BERNSEN & LOEWY LLP
employer_address1              | 9201 CORPORATE BOULEVAROAD
employer_address2              | SUITE 320
employer_city                  | ROCKVILLE
employer_state                 | MD
employer_postal_code           | 20850
begin_date                     | 6/2/2022
end_date                       | 12/31/2023
total_worker_positions         | 1
soc_code                       | 15-1199.02
h_1b_dependent                 | Yes
-[ RECORD 9 ]------------------+----------------------------------------------------------
case_number                    | I-200-23278-413624
job_title                      | ARCHITECT
employer_name                  | TATA CONSULTANCY SERVICES LIMITED
secondary_entity_business_name | MAINE DEPARTMENT OF LABOR
employer_poc_email             | AMIT1.JINDAL@TCS.COM
employer_poc_phone             | 13012319083
employer_poc_first_name        | AMIT
employer_poc_last_name         | JINDAL
worksite_address1              | 45 COMMERCE DRIVE
worksite_address2              | 
worksite_city                  | AUGUSTA
worksite_county                | AUGUSTA CITY
lawfirm_name_business_name     | FRAGOMEN, DEL REY, BERNSEN & LOEWY LLP
employer_address1              | 9201 CORPORATE BOULEVAROAD
employer_address2              | SUITE 320
employer_city                  | ROCKVILLE
employer_state                 | MD
employer_postal_code           | 20850
begin_date                     | 1/1/2024
end_date                       | 12/31/2026
total_worker_positions         | 1
soc_code                       | 15-1299.08
h_1b_dependent                 | Yes
-[ RECORD 10 ]-----------------+----------------------------------------------------------
case_number                    | I-200-24213-233728
job_title                      | Analyst
employer_name                  | Tata Consultancy Services Limited
secondary_entity_business_name | Mississippi Department of Employment Security
employer_poc_email             | amit1.jindal@tcs.com
employer_poc_phone             | 13012319083
employer_poc_first_name        | Amit / Venkata Srinath
employer_poc_last_name         | Jindal / Yarasinghu
worksite_address1              | Maine Department of Labor, 45 Commerce Drive
worksite_address2              | 
worksite_city                  | Augusta
worksite_county                | AUGUSTA CITY
lawfirm_name_business_name     | Goel & Anderson LLC
employer_address1              | 9201 Corporate Boulevard
employer_address2              | Suite 320
employer_city                  | Rockville
employer_state                 | MD
employer_postal_code           | 20850
begin_date                     | 8/9/2024
end_date                       | 8/8/2027
total_worker_positions         | 1
soc_code                       | 15-1211.00
h_1b_dependent                 | Yes
-[ RECORD 11 ]-----------------+----------------------------------------------------------
case_number                    | I-200-22255-467191
job_title                      | Programmer Analyst
employer_name                  | Sunray Informatics Inc
secondary_entity_business_name | Office of Information Technology (OIT), State of Maine
employer_poc_email             | krishna@sunrayinformatics.com
employer_poc_phone             | 17324651411
employer_poc_first_name        | Ashok
employer_poc_last_name         | Poddar
worksite_address1              | 51 Commerce Drive
worksite_address2              | 
worksite_city                  | Augusta
worksite_county                | AUGUSTA CITY
lawfirm_name_business_name     | Rondon Law Group LLC
employer_address1              | 77 Milltown Road
employer_address2              | Suite C1
employer_city                  | East Brunswick
employer_state                 | NJ
employer_postal_code           | 08816
begin_date                     | 9/19/2022
end_date                       | 9/18/2025
total_worker_positions         | 1
soc_code                       | 15-1251.00
h_1b_dependent                 | Yes
-[ RECORD 12 ]-----------------+----------------------------------------------------------
case_number                    | I-200-24204-213895
job_title                      | Business Analyst
employer_name                  | Bhrigus Inc
secondary_entity_business_name | STATE OF MAINE
employer_poc_email             | rohith@bhrigus.com
employer_poc_phone             | 17329933653
employer_poc_first_name        | Rohith
employer_poc_last_name         | Ravi
worksite_address1              | 51 COMMERCE DR.
worksite_address2              | 
worksite_city                  | AUGUSTA
worksite_county                | AUGUSTA CITY
lawfirm_name_business_name     | 
employer_address1              | 38345 W 10 Mile Road
employer_address2              | Suite 125
employer_city                  | Farmington Hills
employer_state                 | MI
employer_postal_code           | 48335
begin_date                     | 7/29/2024
end_date                       | 5/31/2027
total_worker_positions         | 1
soc_code                       | 15-2051.01
h_1b_dependent                 | Yes
-[ RECORD 13 ]-----------------+----------------------------------------------------------
case_number                    | I-200-23109-947782
job_title                      | SENIOR .NET DEVELOPER
employer_name                  | IT CATS LLC
secondary_entity_business_name | STATE OF MAINE
employer_poc_email             | SRAVAN@INFOWAYSOFTWARE.COM
employer_poc_phone             | 17322382120
employer_poc_first_name        | KARNATI
employer_poc_last_name         | SRAVAN
worksite_address1              | 45 COMMERCE DRIVE
worksite_address2              | 
worksite_city                  | AUGUSTA
worksite_county                | KENNEBUNK TOWN
lawfirm_name_business_name     | 
employer_address1              | 388 WASHINGTON ROAD
employer_address2              | SUITE A
employer_city                  | SAYREVILLE
employer_state                 | NJ
employer_postal_code           | 08872
begin_date                     | 5/29/2023
end_date                       | 5/28/2026
total_worker_positions         | 1
soc_code                       | 15-1252.00
h_1b_dependent                 | Yes
-[ RECORD 14 ]-----------------+----------------------------------------------------------
case_number                    | I-200-24205-214307
job_title                      | JAVA FULL STACK DEVELOPER
employer_name                  | JNIT Technologies Inc
secondary_entity_business_name | STATE OF MAINE
employer_poc_email             | hr@jnitinc.com
employer_poc_phone             | 17324167646
employer_poc_first_name        | Nikesh
employer_poc_last_name         | Patel
worksite_address1              | 51 commerce Dr
worksite_address2              | 
worksite_city                  | Augusta
worksite_county                | KENNEBUNK TOWN
lawfirm_name_business_name     | IMM Laws
employer_address1              | 3145 Bordentown Ave
employer_address2              | Suite D1
employer_city                  | Parlin
employer_state                 | NJ
employer_postal_code           | 08859
begin_date                     | 7/22/2024
end_date                       | 7/21/2027
total_worker_positions         | 1
soc_code                       | 15-1252.00
h_1b_dependent                 | Yes
-[ RECORD 15 ]-----------------+----------------------------------------------------------
case_number                    | I-200-22109-084564
job_title                      | SOFTWARE DEVELOPER
employer_name                  | LOGICQUE INC
secondary_entity_business_name | STATE OF MAINE
employer_poc_email             | hr@logicque.com
employer_poc_phone             | 17344045625
employer_poc_first_name        | INDIRA
employer_poc_last_name         | SURESH
worksite_address1              | 51 COMMERCE DRIVE
worksite_address2              | 
worksite_city                  | AUGUSTA
worksite_county                | AUGUSTA CITY
lawfirm_name_business_name     | 
employer_address1              | 2200 N CANTON CENTER ROAD,
employer_address2              | STE 110
employer_city                  | CANTON
employer_state                 | MI
employer_postal_code           | 48187
begin_date                     | 4/19/2022
end_date                       | 4/18/2025
total_worker_positions         | 1
soc_code                       | 15-1132.00
h_1b_dependent                 | Yes
-[ RECORD 16 ]-----------------+----------------------------------------------------------
case_number                    | I-200-23255-340101
job_title                      | NETWORK ENGINEER
employer_name                  | LOGIXtech Solutions LLC
secondary_entity_business_name | STATE OF MAINE
employer_poc_email             | AYAN@LOGIX-TECH.COM
employer_poc_phone             | 17324945100
employer_poc_first_name        | AYAN
employer_poc_last_name         | BHADURI
worksite_address1              | 51 COMMERCE DRIVE
worksite_address2              | 
worksite_city                  | AUGUSTA
worksite_county                | KENNEBUNK TOWN
lawfirm_name_business_name     | 
employer_address1              | 1090 KINGS GEORGES POST ROAD
employer_address2              | SUITE 1201
employer_city                  | EDISON
employer_state                 | NJ
employer_postal_code           | 08837
begin_date                     | 9/12/2023
end_date                       | 9/11/2026
total_worker_positions         | 1
soc_code                       | 15-1241.00
h_1b_dependent                 | Yes
-[ RECORD 17 ]-----------------+----------------------------------------------------------
case_number                    | I-200-25107-878127
job_title                      | SOFTWARE ENGINEER
employer_name                  | RapidIT Inc
secondary_entity_business_name | STATE OF MAINE / KNOWLEDGE SERVICES
employer_poc_email             | hradmin@rapiditinc.com
employer_poc_phone             | 16783663820
employer_poc_first_name        | Sai K K
employer_poc_last_name         | Vemulapalli
worksite_address1              | 286 Water Street
worksite_address2              | FLOOR 6
worksite_city                  | Augusta
worksite_county                | AUGUSTA CITY
lawfirm_name_business_name     | 
employer_address1              | 4080 McGinnis Ferry Road
employer_address2              | Suite 1206
employer_city                  | Alpharetta
employer_state                 | GA
employer_postal_code           | 30005
begin_date                     | 10/1/2025
end_date                       | 9/30/2028
total_worker_positions         | 1
soc_code                       | 15-1252
h_1b_dependent                 | Yes
-[ RECORD 18 ]-----------------+----------------------------------------------------------
case_number                    | I-200-23303-465874
job_title                      | SOFTWARE DEVELOPER
employer_name                  | THINKLUSIVE INC
secondary_entity_business_name | STATE OF MAINE INFORMATION TECHNOLOGY DIVISION
employer_poc_email             | LAKSHMI.VADDI@THINKLUSIVE.COM
employer_poc_phone             | 17324193704
employer_poc_first_name        | SRI LAKSHMI
