-[ RECORD 1 ]------------------+----------------------------------------------------------------------------------------------------------
case_number                    | I-200-22137-180046
job_title                      | Principal Technical Professional - Software Engineering
employer_name                  | KBR Wyle Services LLC
secondary_entity_business_name | .S. Department of Transportation Volpe National Transportation Systems Center
employer_poc_email             | Iris.Landry@kbr.com
employer_poc_phone             | 17137535914
employer_poc_first_name        | Iris
employer_poc_last_name         | Landry
worksite_address1              | 55 Broadway
worksite_address2              | 
worksite_city                  | Cambridge
worksite_county                | CAMBRIDGE CITY
lawfirm_name_business_name     | EY Law LLP
employer_address1              | 601 Jefferson Street
employer_address2              | 
employer_city                  | Houston
employer_state                 | TX
employer_postal_code           | 77002
begin_date                     | 7/8/2022
end_date                       | 7/7/2025
total_worker_positions         | 1
soc_code                       | 15-1132.00
h_1b_dependent                 | No
-[ RECORD 2 ]------------------+----------------------------------------------------------------------------------------------------------
case_number                    | I-200-22287-529995
job_title                      | .Net Developer
employer_name                  | Novalink Solutions
secondary_entity_business_name | Acro Corp/ State of Massachusetts
employer_poc_email             | Reports@novalink-solutions.com
employer_poc_phone             | 17702391641
employer_poc_first_name        | Huu
employer_poc_last_name         | Phan
worksite_address1              | 100 Cambridge Street
worksite_address2              | 
worksite_city                  | Boston
worksite_county                | BOSTON CITY
lawfirm_name_business_name     | Malik & Popiel, P.C.
employer_address1              | 2180 Satellite Blvd,
employer_address2              | Suite 400
employer_city                  | Duluth
employer_state                 | GA
employer_postal_code           | 30097
begin_date                     | 10/21/2022
end_date                       | 10/20/2025
total_worker_positions         | 1
soc_code                       | 15-1252.00
h_1b_dependent                 | Yes
-[ RECORD 3 ]------------------+----------------------------------------------------------------------------------------------------------
case_number                    | I-200-22278-512945
job_title                      | .Net Developer
employer_name                  | Novalink Solutions
secondary_entity_business_name | Acro Corp/ State of Massachusetts
employer_poc_email             | Reports@novalink-solutions.com
employer_poc_phone             | 17702391641
employer_poc_first_name        | Huu
employer_poc_last_name         | Phan
worksite_address1              | 1 Winter Street
worksite_address2              | 
worksite_city                  | Boston
worksite_county                | BOSTON CITY
lawfirm_name_business_name     | Malik & Popiel, P.C.
employer_address1              | 2180 Satellite Blvd,
employer_address2              | Suite 400
employer_city                  | Duluth
employer_state                 | GA
employer_postal_code           | 30097
begin_date                     | 10/5/2022
end_date                       | 10/4/2025
total_worker_positions         | 1
soc_code                       | 15-1252.00
h_1b_dependent                 | Yes
-[ RECORD 4 ]------------------+----------------------------------------------------------------------------------------------------------
case_number                    | I-200-22111-095384
job_title                      | Web Technology Consultant
employer_name                  | MOURI Tech LLC
secondary_entity_business_name | Boston Police Department
employer_poc_email             | tammyh@mouritech.com
employer_poc_phone             | 19727561500
employer_poc_first_name        | Tammy
employer_poc_last_name         | Hurst
worksite_address1              | 1 Schroeder Plaza
worksite_address2              | 
worksite_city                  | Boston
worksite_county                | BOSTON CITY
lawfirm_name_business_name     | Ramineni & Shepard LLC
employer_address1              | 1183 W. John Carpenter Freeway
employer_address2              | 
employer_city                  | Irving
employer_state                 | TX
employer_postal_code           | 75039
begin_date                     | 9/10/2022
end_date                       | 9/9/2025
total_worker_positions         | 1
soc_code                       | 15-1132.00
h_1b_dependent                 | Yes
-[ RECORD 5 ]------------------+----------------------------------------------------------------------------------------------------------
case_number                    | I-200-23353-576355
job_title                      | Software QA Analyst
employer_name                  | ABD Solutions Inc
secondary_entity_business_name | Client  Commonwealth of MA (EHS Department)
employer_poc_email             | info2@abdsinc.com
employer_poc_phone             | 17034833128
employer_poc_first_name        | Vishnu
employer_poc_last_name         | Donepudi
worksite_address1              | 100 Hancock Street
worksite_address2              | 
worksite_city                  | Quincy
worksite_county                | QUINCY CITY
lawfirm_name_business_name     | Law Offices of Claudia Y. Tsou
employer_address1              | 4229 Lafayette Center Drive
employer_address2              | Suite 1500
employer_city                  | Chantilly
employer_state                 | VA
employer_postal_code           | 20151
begin_date                     | 12/19/2023
end_date                       | 12/18/2026
total_worker_positions         | 1
soc_code                       | 15-1253.00
h_1b_dependent                 | Yes
-[ RECORD 6 ]------------------+----------------------------------------------------------------------------------------------------------
case_number                    | I-200-24270-365826
job_title                      | Tableau Developer
employer_name                  | Cognowiz LLC
secondary_entity_business_name | Commonwealth of MA - the Department of Public Health
employer_poc_email             | ishashah@cognowiz.com
employer_poc_phone             | 12024654858
employer_poc_first_name        | Isha
employer_poc_last_name         | Shah
worksite_address1              | 250 Washington St
worksite_address2              | 
worksite_city                  | Boston
worksite_county                | BOSTON CITY
