-[ RECORD 1 ]------------------+-----------------------------------------------------------------------------------------------------
case_number                    | I-200-24359-570200
job_title                      | SAP ABAP DEVELOPER
employer_name                  | DIGITALBYTES INC
secondary_entity_business_name | DEPARTMENT OF FINANCE (DFA), STATE OF MISSISSIPPI
employer_poc_email             | IMMIGRATION@DIGITALBYTESINC.COM
employer_poc_phone             | 12159991450
employer_poc_first_name        | IVETT
employer_poc_last_name         | CORTES
worksite_address1              | 501 N WEST ST
worksite_address2              | 
worksite_city                  | JACKSON
worksite_county                | HINDS
lawfirm_name_business_name     | PRADEEK SUSHEELAN PC
employer_address1              | 2300 LINCOLN HWY
employer_address2              | SUITE 301
employer_city                  | LANGHORNE
employer_state                 | PA
employer_postal_code           | 19047
begin_date                     | 5/15/2025
end_date                       | 5/14/2028
total_worker_positions         | 1
soc_code                       | 15-1252
h_1b_dependent                 | Yes
-[ RECORD 2 ]------------------+-----------------------------------------------------------------------------------------------------
case_number                    | I-200-21348-764935
job_title                      | SAP ABAP DEVELOPER
employer_name                  | DigitalBytes Inc
secondary_entity_business_name | Department of Finance (DFA), State of Mississippi
employer_poc_email             | immigration@digitalbytesinc.com
employer_poc_phone             | 12158092070
employer_poc_first_name        | Ian
employer_poc_last_name         | Patterson
worksite_address1              | 301 NORTH LAMAR STREET
worksite_address2              | SUITE 400
worksite_city                  | JACKSON
worksite_county                | HINDS
lawfirm_name_business_name     | Reddy & Neumann.P.C.
employer_address1              | One Oxford Valley 2300 Lincoln Hwy
employer_address2              | Ste 301
employer_city                  | Langhorne
employer_state                 | PA
employer_postal_code           | 19047
begin_date                     | 5/15/2022
end_date                       | 5/14/2025
total_worker_positions         | 1
soc_code                       | 15-1132.00
h_1b_dependent                 | Yes
-[ RECORD 3 ]------------------+-----------------------------------------------------------------------------------------------------
case_number                    | I-200-25147-020854
job_title                      | Sr Business Analyst
employer_name                  | IGATE Solutions LLC
secondary_entity_business_name | MDHS(Mississippi Department of Human Services)
employer_poc_email             | hr@igatesolutions.us
employer_poc_phone             | 14694449369
employer_poc_first_name        | Lakshmi Prasanna
employer_poc_last_name         | Ariga
worksite_address1              | 200 S Lamar St
worksite_address2              | 
worksite_city                  | Jackson
worksite_county                | HINDS
lawfirm_name_business_name     | 
employer_address1              | 7150 Holland Dr
employer_address2              | Suite 105
employer_city                  | Frisco
employer_state                 | TX
employer_postal_code           | 75035
begin_date                     | 10/1/2025
end_date                       | 9/30/2028
total_worker_positions         | 1
soc_code                       | 15-1211
h_1b_dependent                 | Yes
-[ RECORD 4 ]------------------+-----------------------------------------------------------------------------------------------------
case_number                    | I-200-22152-233403
job_title                      | PROJECT LEAD
employer_name                  | TATA CONSULTANCY SERVICES LIMITED
secondary_entity_business_name | MISSISSIPPI DEPARTMENT OF EMPLOYMENT SECURITY
employer_poc_email             | AMIT1.JINDAL@TCS.COM
employer_poc_phone             | 13012319083
employer_poc_first_name        | AMIT
employer_poc_last_name         | JINDAL
worksite_address1              | 1235 ECHELON PARKWAY
worksite_address2              | 
worksite_city                  | JACKSON
worksite_county                | HINDS
lawfirm_name_business_name     | FRAGOMEN, DEL REY, BERNSEN & LOEWY LLP
employer_address1              | 9201 CORPORATE BOULEVAROAD
employer_address2              | SUITE 320
employer_city                  | ROCKVILLE
employer_state                 | MD
employer_postal_code           | 20850
begin_date                     | 6/3/2022
end_date                       | 6/2/2025
total_worker_positions         | 1
soc_code                       | 15-1199.09
h_1b_dependent                 | Yes
-[ RECORD 5 ]------------------+-----------------------------------------------------------------------------------------------------
case_number                    | I-200-23073-847618
job_title                      | ANALYST
employer_name                  | TATA CONSULTANCY SERVICES LIMITED
secondary_entity_business_name | MISSISSIPPI DEPARTMENT OF EMPLOYMENT SECURITY
employer_poc_email             | AMIT1.JINDAL@TCS.COM
employer_poc_phone             | 13012319083
employer_poc_first_name        | AMIT
employer_poc_last_name         | JINDAL
worksite_address1              | 1235 ECHELON PARKWAY
worksite_address2              | 
worksite_city                  | JACKSON
worksite_county                | HINDS
lawfirm_name_business_name     | FRAGOMEN, DEL REY, BERNSEN & LOEWY LLP
employer_address1              | 9201 CORPORATE BOULEVAROAD
employer_address2              | SUITE 320
employer_city                  | ROCKVILLE
employer_state                 | MD
employer_postal_code           | 20850
begin_date                     | 6/16/2023
end_date                       | 6/15/2026
total_worker_positions         | 1
soc_code                       | 15-1211.00
h_1b_dependent                 | Yes
-[ RECORD 6 ]------------------+-----------------------------------------------------------------------------------------------------
case_number                    | I-200-24016-643764
job_title                      | ANALYST
employer_name                  | TATA CONSULTANCY SERVICES LIMITED
