case_number|job_title|employer_name|secondary_entity_business_name|employer_poc_email|employer_poc_phone|employer_poc_first_name|employer_poc_last_name|worksite_address1|worksite_address2|worksite_city|worksite_county|lawfirm_name_business_name|employer_address1|employer_address2|employer_city|employer_state|employer_postal_code|begin_date|end_date|total_worker_positions|soc_code|h_1b_dependent
I-200-22141-197925|Network Engineer|MARK TECHNOLOGIES INC|City of Portland (subsidiary of State of Oregon)|hr@marktechnologiesinc.com|12142187065|RAJASEKHARA|AVULA|1120 SW 5th Avenue|Suite 1111|Portland|MULTNOMAH|THE LAW FIRM OF SIM, PARVATHANENI AND BROWN PLLC|2695 Villa Creek Dr|Suite B175|Dallas|TX|75234|10/1/2022|9/30/2025|1|15-1143.00|No
I-200-23041-765717|Quality Assurance Analyst|VIRAT SOLUTIONS INC|DHS/OHA (Department of Human Services and Oregon Health Authority)|immigration@viratsolutions.com|19728483729|Bhavya|Jakka Sai|500 Summer St NE||Salem|MARION|THE LAW FIRM OF SIM, PARVATHANENI AND BROWN PLLC|25663 Smotherman Road|SUITE 202|FRISCO|TX|75033|2/15/2023|2/14/2026|1|15-1253.00|Yes
I-200-22166-283170|Quality Assurance Analyst|VIRAT SOLUTIONS INC|DHS/OHA (Departmentof Human Services and Oregon Health Authority)|immigration@viratsolutions.com|19728483729|Bhavya|Jakka Sai|500 Summer St NE||Salem|MARION|THE LAW FIRM OF SIM, PARVATHANENI AND BROWN PLLC|25663 Smotherman Road|SUITE 202|FRISCO|TX|75033|10/1/2022|9/30/2025|1|15-1199.01|Yes
I-200-21231-531615|Application Developer|InfoDrive Systems Inc|DHS/OHS (Department of Human Services / Oregon Health Authority)|sheetal@infodrivesystems.com|12057376878|Sheetal|Nemmaniwar|3991 Fairview Industrial Drive SE||Salem|MARION||135 E Main Street|Suite 204|Rock Hill|SC|29730|10/1/2021|9/30/2024|1|15-1132.00|Yes
I-200-22105-074949|ETL Developer|AMERITEK GLOBAL INC|Deloitte Consulting LLP/  State of Oregon-Integrated Eligibility|Meena@ameritekglobal.com|17329672979|Meena Ramani|Kurecheti|550 Capitol St||Salem|MARION|THE LAW FIRM OF SIM, PARVATHANENI AND BROWN PLLC|15 CORPORATE PLACE SOUTH|SUITE 136|PISCATAWAY|NJ|08854|10/13/2022|10/12/2025|1|15-1132.00|Yes
I-200-24165-105225|Functional Analyst|PIONEER CONSULTING SERVICES LLC|Deloitte Consulting LLP/OR-State of Oregon-IE- M&O - GPS|SAI@PIONEERITCONSULTING.COM|13149220438|SAIKUMAR|SHANKAIAHGARI|500 Summer Street NE||Salem|MARION|IMM Laws|3490 US Highway 1, Building 10||Princeton|NJ|08540|6/13/2024|6/12/2027|1|15-1211.00|Yes
I-200-23194-185446|Java Developer|Kanap Systems LLC|Deloitte/State of oregon|info@kanapsystems.com|15159745604|Kiran|Pendurthi|4600 25th Ave NE|Suite 180|Salem|MARION|IMM Laws|4949 Pleasant Street|Suite 200|West Des Moines|IA|50266|7/12/2023|7/11/2026|1|15-1252.00|Yes
I-200-23223-258770|Workday Adminstrator|Thoughtwave Software & Solutions Inc|Departments at Multnomah County|srk@thoughtwavesoft.com|16308835296|Sai Ratnakar|Karumuri|The Multnomah Building 501 SE Hawthorne Blvd.|Suite 175|Portland|MULTNOMAH|Law Offices of Mary Kennedy LLC|314 N. Lake St|SUITE 6|Aurora|IL|60506|8/11/2023|8/10/2026|1|15-1211.00|Yes
I-200-23236-293785|Workday Adminstrator|Thoughtwave Software & Solutions Inc|Departments at Multnomah County|srk@thoughtwavesoft.com|16308835296|Sai Ratnakar|Karumuri|The Multnomah Building 501 SE Hawthorne Blvd|Suite 175|Portland|MULTNOMAH|Law Offices of Mary Kennedy LLC|314 N. Lake St|SUITE 6|Aurora|IL|60506|8/24/2023|8/23/2026|1|15-1211.00|Yes
I-200-23240-301547|Workday Adminstrator|Thoughtwave Software & Solutions Inc|Departments at Multnomah County|srk@thoughtwavesoft.com|16308835296|Sai Ratnakar|Karumuri|The Multnomah Building 501 SE Hawthorne Blvd|Suite 175|Portland|MULTNOMAH|Law Offices of Mary Kennedy LLC|314 N. Lake St|SUITE 6|Aurora|IL|60506|8/28/2023|8/27/2026|1|15-1211.00|Yes
