case_number|job_title|employer_name|secondary_entity_business_name|employer_poc_email|employer_poc_phone|employer_poc_first_name|employer_poc_last_name|worksite_address1|worksite_address2|worksite_city|worksite_county|lawfirm_name_business_name|employer_address1|employer_address2|employer_city|employer_state|employer_postal_code|begin_date|end_date|total_worker_positions|soc_code|h_1b_dependent
I-200-23165-109194|Technical Project Manager/Scrum Master|HSK TECHNOLOGIES INC|CT Department of Administrative Services|HR@HSKTECHNOLOGIES.NET|17325106661|MANJULA|NALAJALLA|12558 S, Pony Express Road|Unit 138|Draper|SALT LAKE|MARKAN LAW PLLC|15 CORPORATE PL S|STE 213 B|PISCATAWAY|NJ|08854|10/1/2023|9/30/2026|1|15-1299.09|Yes
I-200-22181-326403|SOFTWARE APPLICATION DEVELOPER|HORIZON SOFTECH INC|DEPARTMENT OF LABOR|MOHAN@HORIZONSOFTECH.NET|12485280227|MOHAN|EDARA|8660 SANDY PARKWAY||SANDY|SALT LAKE|VELIE LAW FIRM PLLC|637 E BIG BEAVER ROAD|SUITE 101|TROY|MI|48083|7/7/2022|7/6/2025|1|15-1132.00|Yes
I-200-23136-025444|SOFTWARE APPLICATION DEVELOPER|HORIZON SOFTECH INC|DEPARTMENT OF LABOR|MOHAN@HORIZONSOFTECH.NET|12486621606|MOHAN|EDARA|OSHA TECHNICAL CENTER, 8660 SANDY PARKWAY||SANDY|SALT LAKE|VELIE LAW FIRM PLLC|637 E BIG BEAVER ROAD|SUITE 101|TROY|MI|48083|10/1/2023|9/30/2026|1|15-1252.00|Yes
I-200-23059-810113|SOFTWARE ENGINEER|GLOBALGATE IT SOLUTIONS LLC|DEPARTMENT OF LABOR (OSHA)|AMAR@GLOBALGATELLC.COM|17038713915|AMAR|MANNE|8660 SANDY PARKWAY||SANDY|SALT LAKE|MADAN & SAIGAL LLC|14801 MUROADOCK STREET, SUITE 160||CHANTILLY|VA|20151|2/28/2023|2/27/2026|1|15-1252.00|Yes
I-200-24283-395984|JAVA DEVELOPER|E-GIANTS TECHNOLOGIES LLC|DIVISION OF TECHNOLOGY SERVICES/ DWS - STATE OF UTAH|LEGAL@THEEGIANTS.COM|15153091451|KRISHNA|BODDULURI|140 E 300 S, 6TH FLOOR||SALT LAKE CITY|SALT LAKE||4500 WESTOWN PARKWAY|SUITE 115|WEST DES MOINES|IA|50266|10/16/2024|10/15/2027|1|15-1252|Yes
I-200-24197-197247|JAVA DEVELOPER|E-GIANTS TECHNOLOGIES LLC|DIVISION OF TECHNOLOGY SERVICES/ DWS – STATE OF UTAH|LEGAL@THEEGIANTS.COM|15153091451|KRISHNA|BODDULURI|140 E 300 S, 6TH FLOOR||SALT LAKE CITY|SALT LAKE||4500 WESTOWN PARKWAY|SUITE 115|WEST DES MOINES|IA|50266|7/22/2024|7/21/2027|1|15-1252.00|Yes
I-200-23023-720136|Senior Database Administrator|APPLAB SYSTEMS INC|Department of  Health and Human services(Remote)|IMMIGRATION@APPLABSYSTEMS.COM|17322504672|SRINIVAS|MUPPALA|292 W Galena park Blvd|Apt 1013|Draper|SALT LAKE||4365 ROUTE 1 SOUTH|SUITE 105|PRINCETON|NJ|08540|1/31/2023|1/30/2026|1|15-1242.00|Yes
I-200-24199-202245|Senior Database Administrator|APPLAB SYSTEMS INC|Department of Health and Human services(Remote)|IMMIGRATION@APPLABSYSTEMS.COM|17322504672|SRINIVAS|MUPPALLA|292 W Galena park Blvd|Apt 1013|Draper|SALT LAKE||4365 ROUTE 1 SOUTH|SUITE 105|PRINCETON|NJ|08540|11/8/2024|11/7/2027|1|15-1242.00|No
I-200-22152-229075|Software Developer|RV Soft Inc|Department of Workforce|hr@rvsoft.in|13098635727|Lakshmy|Mohan|140 East 300 South||Salt Lake City|SALT LAKE||1303 Guiness Dr||Bloomington|IL|61705|10/1/2022|9/30/2025|1|15-1132.00|No
I-200-22130-153118|Aurora/Postgres Application DBA|TECHNUMEN INC|Department of Workforce Services (State of Utah)|chilpur@technumen.com|17325950962|CHILPUR|REDDY|140 E 300 S||Salt Lake City|SALT LAKE|INTERNATIONAL LEGAL AND BUSINESS SERVICES GROUP LLP|242 OLD NEWBRUNSWICK ROAD|SUITE 310|PISCATAWAY|NJ|08854|5/10/2022|5/9/2025|1|15-1141.00|Yes
I-200-22127-147218|Aurora/Postgres Application DBA|TECHNUMEN INC|Department of Workforce Services (State of Utah)|chilpur@technumen.com|17325950962|CHILPUR|REDDY|140 E 300 S||Salt Lake City|SALT LAKE|INTERNATIONAL LEGAL AND BUSINESS SERVICES GROUP LLP|242 OLD NEWBRUNSWICK ROAD|SUITE 310|PISCATAWAY|NJ|08854|5/7/2022|5/6/2025|1|15-1141.00|Yes
I-200-21189-451432|AWS Application Developer|SupraSoft Inc|Department of Workforce Services(DWS), State of Utah|satya@suprasoft.com|18479691314|Satya|Kandimalla|140 E 300 S||Salt Lake City|SALT LAKE|Joseph Kallabat & Associates, P.C.|830 E. Higgins Road|Suite 111 J|Schaumburg|IL|60173|7/15/2021|7/14/2024|1|15-1132.00|Yes
I-200-24192-185303|Java Developer|GENPX INC|Department of Workforce services|immigration@genpx.com|19133370340|Sudeepa|Shrestha|140 E 300 S||SALT LAKE CITY|SALT LAKE||420 Decker Dr|Suite 110|IRVING|TX|75062|7/15/2024|6/30/2027|1|15-1252.00|Yes
I-200-24016-641730|Java Web Application Developer|TEKhops LLC|Dept. of Health and Human Services – State of Utah|ravi@tekhops.com|16129994608|Ravi|Jasti|195 N. 1950 W||Salt Lake City|SALT LAKE|International Legal and Business Services Group LLP|540 Greenhaven Road|Suite 102|Anoka|MN|55303|1/16/2024|1/15/2027|1|15-1252.00|Yes
I-200-22060-941301|JAVA DEVELOPER|E-GIANTS TECHNOLOGIES LLC|Division of Technology Services/DWS-State of Utah|ADMIN@THEEGIANTS.COM|15153091451|KRISHNA|BODDULURI|140 E 300 S|6TH FLOOR|SALT LAKE CITY|SALT LAKE|GREENSPOON MARDER LLP|4500 WESTOWN PARKWAY|SUITE 115|WEST DES MOINES|IA|50266|3/9/2022|3/8/2025|1|15-1132.00|Yes
I-200-22061-943306|JAVA DEVELOPER|E-GIANTS TECHNOLOGIES LLC|Division of Technology Services/DWS-State of Utah|ADMIN@THEEGIANTS.COM|15153091451|KRISHNA|BODDULURI|140 E 300 S|6th FLOOR|SALT LAKE CITY|SALT LAKE|GREENSPOON MARDER LLP|4500 WESTOWN PARKWAY|SUITE 115|WEST DES MOINES|IA|50266|3/9/2022|3/8/2025|1|15-1132.00|Yes
I-200-25094-833042|Study Coordinator|University of Utah|George E. Wahlen Department of Veterans Affairs|katie.carreau@legal.utah.edu|18015857002|Katie|CARREAU|500 Foothill Drive|Bldg 2|Salt Lake City|SALT LAKE||201 S Presidents Circle||Salt Lake City|UT|84112|6/20/2025|6/19/2028|1|19-4061|No
I-200-25142-009320|Senior Data Scientist|University of Utah|George E. Wahlen Department of Veterans Affairs Medical Center|katie.carreau@legal.utah.edu|18015857002|Katie|CARREAU|500 Foothill Drive|IC39|Salt Lake City|SALT LAKE||201 S Presidents Circle||Salt Lake City|UT|84112|7/1/2025|6/30/2028|1|15-2051|No
I-200-22125-138312|Senior Research Analyst|University of Utah|George E. Wahlen Department of Veterans Affairs Medical Center|katie.carreau@legal.utah.edu|18015857002|Katie|CARREAU|500 Foothill Drive|IC39|Salt Lake City|SALT LAKE||201 S Presidents Circle||Salt Lake City|UT|84112|7/5/2022|7/4/2025|1|15-2041.02|No
I-200-24093-848868|Software Developer|TECHMYNDS INC|Knowledge Services- Utah State Board Of Education|immigration@techmyndsinc.com|14085135014|Vivek|Mahale|250 E 500 S||Salt Lake City|SALT LAKE|THE LAW FIRM OF SIM, PARVATHANENI AND BROWN PLLC|1981 J N Pease Place|Suite 104|Charlotte|NC|28262|10/1/2024|9/30/2027|1|15-1252.00|Yes
I-200-23047-780657|SOFTWARE DEVELOPER|Tek Spikes LLC|REMOTE-STATE OF UTAH|admin@tekspikes.com|19193243978|Srirama Satya Krishna|Bobba|1244 E BUCKHORN MTN||EAGLE MOUNTAIN|UTAH||2727 LBJ Freeway|Suite 310|Farmers Branch|TX|75234|2/27/2023|2/26/2026|1|15-1252.00|Yes
I-200-22277-509506|DATABASE ADMINISTRATOR|COMPUNNEL SOFTWARE GROUP INC|STATE OF UTAH|IMMIGRATION@COMPUNNEL.COM|16096069010|STEVE|MONTELEONE|195 N 1950 W||SALT LAKE|SALT LAKE||103 MORGAN LANE|SUITE 102|PLAINSBORO|NJ|08536|10/4/2022|10/3/2025|1|15-1242.00|Yes
I-200-22277-509403|DATABASE ADMINISTRATOR|COMPUNNEL SOFTWARE GROUP INC|STATE OF UTAH|IMMIGRATION@COMPUNNEL.COM|16096069010|STEVE|MOTELEONE|195 N 1950 W||SALT LAKE|SALT LAKE||103 MORGAN LANE|SUITE 102|PLAINSBORO|NJ|08536|10/4/2022|10/3/2025|1|15-1242.00|Yes
I-200-22060-941929|DEVOPS ENGINEER|I3 INFOTEK INC|STATE OF UTAH|HR@I3INFOTEK.COM|17327344098|SWATHI|RASSAMSETTY|4315 S 2700 W||TALYORSVILLE|SALT LAKE||379 THORNALL STREET|FLOOR 9|EDISON|NJ|08837|3/7/2022|3/6/2025|1|15-1132.00|Yes
I-200-24135-990948|Full Stack Java Developer|KESH TEC INC|STATE OF UTAH|immigration@keshtec.com|19723695464|Sakshi|Gupta|160 E 300 S||Salt Lake City|SALT LAKE|Kodem Law Firm PLLC|1575 Redbud Blvd|STE 100|McKinney|TX|75069|10/1/2024|9/30/2027|1|15-1252.00|No
I-200-23135-023424|JAVA DEVELOPER|LEARNBEYOND CONSULTING LLC|STATE OF UTAH|KUMAR@LEARNBEYONDCONSULTING.COM|17324797002|KUMAR|GANESAN|195 N 1950 W||SALT LAKE CITY|SALT LAKE|LAW OFFICE OF THOMAS V. ALLEN PLLC.|15 CORPORATE PLACE SOUTH|SUITE 345|PISCATAWAY|NJ|08854|5/29/2023|5/28/2026|1|15-1252.00|Yes
I-200-24116-927812|JAVA DEVELOPER|LEARNBEYOND CONSULTING LLC|STATE OF UTAH|KUMAR@LEARNBEYONDCONSULTING.COM|17324797002|KUMAR|GANESAN|195 N 1950 W.||SALT LAKE CITY|SALT LAKE|LAW OFFICE OF THOMAS V. ALLEN PLLC.|15 CORPORATE PLACE SOUTH|SUITE 345|PISCATAWAY|NJ|08854|10/1/2024|9/30/2027|1|15-1252.00|Yes
I-200-23031-739354|SOFTWARE DEVELOPER|LOGICQUE INC|STATE OF UTAH|hr@logicque.com|17344045625|INDIRA|SURESH|140 E 300 S||SALT LAKE CITY|SALT LAKE||2200 N CANTON CENTER ROAD,|STE 110|CANTON|MI|48187|1/31/2023|1/30/2026|1|15-1252.00|Yes
I-200-23255-339755|SYSTEMS ENGINEER|ONLY IT CONSULTING LLC|STATE OF UTAH|HR@ONLYITCONSULTING.COM|18479294488|SANTOSH|SRIVASTAVA|4315 S  2700 W||TAYLORSVILLE|SALT LAKE||2200 W HIGGINS ROAD|STE 315|HOFFMAN ESTATES|IL|60169|9/20/2023|9/13/2025|1|15-1299.08|Yes
I-200-23138-034142|SYSTEMS ENGINEER|ONLY IT CONSULTING LLC|STATE OF UTAH|HR@ONLYITCONSULTING.COM|18479294488|SANTOSH|SRIVASTAVA|4315 S  2700 W||TAYLORSVILLE|SALT LAKE||2200 W HIGGINS ROAD|STE 315|HOFFMAN ESTATES|IL|60169|5/30/2023|5/29/2026|1|15-1299.08|Yes
