-[ RECORD 1 ]------------------+--------------------------------------------------------------------
case_number                    | I-200-23165-109194
job_title                      | Technical Project Manager/Scrum Master
employer_name                  | HSK TECHNOLOGIES INC
secondary_entity_business_name | CT Department of Administrative Services
employer_poc_email             | HR@HSKTECHNOLOGIES.NET
employer_poc_phone             | 17325106661
employer_poc_first_name        | MANJULA
employer_poc_last_name         | NALAJALLA
worksite_address1              | 12558 S, Pony Express Road
worksite_address2              | Unit 138
worksite_city                  | Draper
worksite_county                | SALT LAKE
lawfirm_name_business_name     | MARKAN LAW PLLC
employer_address1              | 15 CORPORATE PL S
employer_address2              | STE 213 B
employer_city                  | PISCATAWAY
employer_state                 | NJ
employer_postal_code           | 08854
begin_date                     | 10/1/2023
end_date                       | 9/30/2026
total_worker_positions         | 1
soc_code                       | 15-1299.09
h_1b_dependent                 | Yes
-[ RECORD 2 ]------------------+--------------------------------------------------------------------
case_number                    | I-200-23136-025444
job_title                      | SOFTWARE APPLICATION DEVELOPER
employer_name                  | HORIZON SOFTECH INC
secondary_entity_business_name | DEPARTMENT OF LABOR
employer_poc_email             | MOHAN@HORIZONSOFTECH.NET
employer_poc_phone             | 12486621606
employer_poc_first_name        | MOHAN
employer_poc_last_name         | EDARA
worksite_address1              | OSHA TECHNICAL CENTER, 8660 SANDY PARKWAY
worksite_address2              | 
worksite_city                  | SANDY
worksite_county                | SALT LAKE
lawfirm_name_business_name     | VELIE LAW FIRM PLLC
employer_address1              | 637 E BIG BEAVER ROAD
employer_address2              | SUITE 101
employer_city                  | TROY
employer_state                 | MI
employer_postal_code           | 48083
begin_date                     | 10/1/2023
end_date                       | 9/30/2026
total_worker_positions         | 1
soc_code                       | 15-1252.00
h_1b_dependent                 | Yes
-[ RECORD 3 ]------------------+--------------------------------------------------------------------
case_number                    | I-200-22181-326403
job_title                      | SOFTWARE APPLICATION DEVELOPER
employer_name                  | HORIZON SOFTECH INC
secondary_entity_business_name | DEPARTMENT OF LABOR
employer_poc_email             | MOHAN@HORIZONSOFTECH.NET
employer_poc_phone             | 12485280227
employer_poc_first_name        | MOHAN
employer_poc_last_name         | EDARA
worksite_address1              | 8660 SANDY PARKWAY
worksite_address2              | 
worksite_city                  | SANDY
